hour,sol_Pnet_pcc,sol_Pgrid_imp,sol_Pgrid_exp,sol_Ppv1,sol_Ppv2,sol_Ppv3,sol_E_bat1,sol_Pch_bat1,sol_Pdis_bat1,sol_E_bat2,sol_Pch_bat2,sol_Pdis_bat2,sol_E_bat3,sol_Pch_bat3,sol_Pdis_bat3,sol_Pnet_house1,sol_Pnet_house2,sol_Pnet_house3,sol_Pgrid_house_imp1,sol_Pgrid_house_imp2,sol_Pgrid_house_imp3,sol_Pgrid_house_exp1,sol_Pgrid_house_exp2,sol_Pgrid_house_exp3,sol_cost_house_step1,sol_cost_house_step2,sol_cost_house_step3,vec_objective_Value
12.5,0.788,0.788,0.0,0.748,0.0,2.244,2.452,0.032,0.0,2.704,0.0,0.0,6.205,2.132,0.0,0.0,0.788,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0,4.265,0.0,0.0
13.0,1.996,1.996,0.0,0.528,0.0,1.584,2.452,0.0,0.0,2.704,0.0,0.0,6.876,1.412,0.0,0.076,1.92,0.0,0.076,1.92,0.0,0.0,0.0,0.0,0.411,10.372,0.0,0.0
13.5,0.676,0.676,0.0,0.308,0.0,0.924,2.452,0.0,0.0,2.704,0.0,0.0,7.269,0.828,0.0,0.184,0.492,0.0,0.184,0.492,0.0,0.0,0.0,0.0,0.974,2.604,0.0,0.0
14.0,0.83,0.83,0.0,0.242,0.0,0.726,2.452,0.0,0.0,2.704,0.0,0.0,7.521,0.53,0.0,0.11,0.72,0.0,0.11,0.72,0.0,0.0,0.0,0.0,0.582,3.81,0.0,0.0
14.5,1.26,1.26,0.0,0.176,0.0,0.528,2.452,0.0,0.0,2.704,0.0,0.0,7.732,0.444,0.0,0.052,1.208,0.0,0.052,1.208,0.0,0.0,0.0,0.0,0.275,6.393,0.0,0.0
15.0,1.374,1.374,0.0,0.146,0.0,0.438,2.452,0.0,0.0,2.704,0.0,0.0,7.839,0.226,0.0,0.922,0.452,0.0,0.922,0.452,0.0,0.0,0.0,0.0,4.676,2.292,0.0,0.0
15.5,6.128,6.128,0.0,0.116,0.0,0.348,3.402,2.0,0.0,4.129,3.0,0.0,7.963,0.26,0.0,2.456,3.672,0.0,2.456,3.672,0.0,0.0,0.0,0.0,12.185,18.218,0.0,0.0
16.0,2.455,2.455,0.0,0.086,0.0,0.258,3.832,0.905,0.0,4.589,0.968,0.0,8.0,0.078,0.0,1.131,1.324,0.0,1.131,1.324,0.0,0.0,0.0,0.0,5.64,6.606,0.0,0.0
16.5,-0.064,0.0,0.064,0.056,0.0,0.168,3.28,0.0,1.048,4.131,0.0,0.872,8.0,0.0,0.0,0.0,0.0,-0.064,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,-0.291,0.0
17.0,0.0,0.0,0.0,0.036,0.0,0.108,2.945,0.0,0.636,3.771,0.0,0.684,7.979,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.5,0.0,0.0,0.0,0.016,0.0,0.048,2.764,0.0,0.344,3.366,0.0,0.768,7.918,0.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
